customer_id,full_name,email,phone_number,city,signup_date,discard_reason
251212.0,Shanaya Madan,ahana-vora@gmail.com,7332867654.0,Chennai,21-04-2023,Missing mandatory fields
848133.0,Mannat Talwar,akarsh20@wason.com,8578396720.0,Pune,11-06-2024,Missing mandatory fields
511492.0,Aaryahi Shenoy,rde@gola.info,7994838320.0,Chennai,02-06-2024,Missing mandatory fields
128097.0,Jayesh Jha,urvi41@yahoo.com,9834699453.0,Kolkata,24-03-2025,Missing mandatory fields
905038.0,Armaan Sarna,nishith98@chauhan.com,7513076043.0,Pune,07-07-2024,Missing mandatory fields
541502.0,Ritvik Chatterjee,vsaha@kulkarni-comar.net,7982033579.0,Kolkata,16-11-2024,Missing mandatory fields
866511.0,Ayesha Shetty,,8855091969.0,Chennai,31-10-2023,Missing mandatory fields
512203.0,Tushar Rau,lmangat@yahoo.com,8215928685.0,Delhi,08-02-2024,Missing mandatory fields
553987.0,Samiha Gill,,7518091323.0,Ahmedabad,05-04-2025,Missing mandatory fields
209910.0,Priyansh Agrawal,routkartik@gmail.com,7802905101.0,Kolkata,24-11-2023,Missing mandatory fields
847839.0,Gokul Varghese,zaina83@tiwari.net,9925325117.0,Pune,16-05-2023,Missing mandatory fields
583064.0,Tarini Vyas,sakshambarman@chakraborty.com,9205613992.0,Ahmedabad,13-10-2024,Missing mandatory fields
733533.0,Eshani Ramaswamy,gkapadia@hotmail.com,9901804796.0,Pune,09-11-2024,Missing mandatory fields
584429.0,Badal Grewal,ohayer@hotmail.com,7999251911.0,Kolkata,22-02-2024,Missing mandatory fields
269218.0,Shlok Gola,aliabatra@garde.com,7394687208.0,Ahmedabad,13-06-2023,Missing mandatory fields
277847.0,Dhruv Raman,koshyyashvi@balakrishnan.com,8852639340.0,Mumbai,20-09-2023,Missing mandatory fields
457035.0,Jhanvi Sehgal,darshitbose@sridhar.biz,8745916414.0,Delhi,24-03-2025,Missing mandatory fields
597401.0,Kiaan Bansal,,7766959137.0,Delhi,20-03-2025,Missing mandatory fields
531065.0,Navya Agrawal,,7121386682.0,Hyderabad,25-02-2025,Missing mandatory fields
266733.0,Adah Kamdar,gokul03@gmail.com,8643563127.0,Mumbai,11-04-2025,Missing mandatory fields
718874.0,Azad Andra,myrasagar@gmail.com,7350316294.0,Ahmedabad,28-03-2025,Missing mandatory fields
397491.0,Ira Sawhney,nirvaantiwari@hotmail.com,9234330853.0,Pune,05-04-2025,Missing mandatory fields
898837.0,Ivana Grover,aarav05@hotmail.com,8006314846.0,Hyderabad,19-06-2024,Missing mandatory fields
628023.0,Indranil Andra,kismatgoda@thaman-subramaniam.org,9038756159.0,Mumbai,17-09-2023,Missing mandatory fields
217981.0,Farhan Ravel,akarsh27@wadhwa.biz,7176932950.0,Chennai,09-04-2025,Missing mandatory fields
486172.0,Hansh Borde,,8578254940.0,Kolkata,25-04-2024,Missing mandatory fields
462199.0,Tara Dani,cbajaj@hotmail.com,9559381066.0,Delhi,11-04-2025,Missing mandatory fields
249624.0,Biju Choudhary,bhatnagarsuhana@gmail.com,7444474733.0,Chennai,28-03-2025,Missing mandatory fields
759139.0,Priyansh Sha,lavanya40@gmail.com,9666390588.0,Bangalore,08-03-2025,Missing mandatory fields
474993.0,Charvi Ahluwalia,,7866106217.0,Pune,01-02-2024,Missing mandatory fields
903347.0,Trisha Ghosh,aaryahi77@yahoo.com,9403455972.0,Delhi,13-02-2025,Missing mandatory fields
595639.0,Armaan Sarkar,shraymaharaj@dewan.com,7534926256.0,Ahmedabad,04-10-2024,Missing mandatory fields
760885.0,Prisha Borra,eraman@vala.com,9352674462.0,Kolkata,02-04-2025,Missing mandatory fields
643914.0,Kiara Golla,,8620200747.0,Delhi,04-05-2024,Missing mandatory fields
890029.0,Taran Loyal,,8003140074.0,Ahmedabad,20-03-2025,Missing mandatory fields
156523.0,Miraan Lata,lhans@yahoo.com,8762147286.0,Mumbai,03-05-2024,Missing mandatory fields
305198.0,Hazel Solanki,shalv93@hans.org,9372814066.0,Pune,23-09-2023,Missing mandatory fields
370147.0,Parinaaz Sheth,qbal@gmail.com,7962001833.0,Pune,12-04-2025,Missing mandatory fields
285490.0,Lakshay Loke,lcheema@sharaf.com,9040520243.0,Bangalore,14-04-2025,Missing mandatory fields
858599.0,Rasha Saxena,,8546090013.0,Ahmedabad,07-09-2023,Missing mandatory fields
712034.0,Divyansh Bhasin,jivikavenkatesh@gmail.com,9243605829.0,Delhi,19-03-2025,Missing mandatory fields
440442.0,Tushar Chokshi,dhanush65@dhillon.org,7253389892.0,Bangalore,19-12-2024,Missing mandatory fields
410423.0,Vihaan Hayre,,9670550456.0,Bangalore,21-09-2023,Missing mandatory fields
498577.0,Miraan Talwar,yhayer@khurana.com,8676320773.0,Hyderabad,20-04-2023,Missing mandatory fields
765240.0,Zaina Cheema,joshizoya@yahoo.com,7719454656.0,Pune,31-03-2025,Missing mandatory fields
143476.0,Pari Dutta,,9929530775.0,Hyderabad,04-12-2023,Missing mandatory fields
405251.0,Samarth Kumar,dasguptatejas@hotmail.com,9229991747.0,Pune,31-03-2025,Missing mandatory fields
678221.0,Umang Varughese,balihazel@rajan.com,9848435858.0,Hyderabad,24-06-2024,Missing mandatory fields
552159.0,Prisha Venkataraman,srivastavahiran@thaker.com,8043541813.0,Ahmedabad,02-05-2024,Missing mandatory fields
136596.0,Onkar Ahuja,,9387224925.0,Hyderabad,28-03-2025,Missing mandatory fields
815362.0,Aaryahi Wali,nehmatsalvi@hotmail.com,7576253427.0,Hyderabad,05-07-2023,Missing mandatory fields
