customer_id,full_name,email,phone_number,city,signup_date
251212.0,Shanaya Madan,ahana-vora@gmail.com,7332867654.0,Chennai,2023-04-21
848133.0,Mannat Talwar,akarsh20@wason.com,8578396720.0,Pune,2024-06-11
511492.0,Aaryahi Shenoy,rde@gola.info,7994838320.0,Chennai,2024-06-02
128097.0,Jayesh Jha,urvi41@yahoo.com,9834699453.0,Kolkata,2025-03-24
905038.0,Armaan Sarna,nishith98@chauhan.com,7513076043.0,Pune,2024-07-07
541502.0,Ritvik Chatterjee,vsaha@kulkarni-comar.net,7982033579.0,Kolkata,2024-11-16
512203.0,Tushar Rau,lmangat@yahoo.com,8215928685.0,Delhi,2024-02-08
209910.0,Priyansh Agrawal,routkartik@gmail.com,7802905101.0,Kolkata,2023-11-24
847839.0,Gokul Varghese,zaina83@tiwari.net,9925325117.0,Pune,2023-05-16
583064.0,Tarini Vyas,sakshambarman@chakraborty.com,9205613992.0,Ahmedabad,2024-10-13
733533.0,Eshani Ramaswamy,gkapadia@hotmail.com,9901804796.0,Pune,2024-11-09
584429.0,Badal Grewal,ohayer@hotmail.com,7999251911.0,Kolkata,2024-02-22
269218.0,Shlok Gola,aliabatra@garde.com,7394687208.0,Ahmedabad,2023-06-13
277847.0,Dhruv Raman,koshyyashvi@balakrishnan.com,8852639340.0,Mumbai,2023-09-20
457035.0,Jhanvi Sehgal,darshitbose@sridhar.biz,8745916414.0,Delhi,2025-03-24
266733.0,Adah Kamdar,gokul03@gmail.com,8643563127.0,Mumbai,2025-04-11
718874.0,Azad Andra,myrasagar@gmail.com,7350316294.0,Ahmedabad,2025-03-28
397491.0,Ira Sawhney,nirvaantiwari@hotmail.com,9234330853.0,Pune,2025-04-05
898837.0,Ivana Grover,aarav05@hotmail.com,8006314846.0,Hyderabad,2024-06-19
628023.0,Indranil Andra,kismatgoda@thaman-subramaniam.org,9038756159.0,Mumbai,2023-09-17
217981.0,Farhan Ravel,akarsh27@wadhwa.biz,7176932950.0,Chennai,2025-04-09
