customer_id,full_name,email,phone_number,city,signup_date
866511,Ayesha Shetty,,8855091969,Chennai,2023-10-31
553987,Samiha Gill,,7518091323,Ahmedabad,2025-04-05
597401,Kiaan Bansal,,7766959137,Delhi,2025-03-20
531065,Navya Agrawal,,7121386682,Hyderabad,2025-02-25
486172,Hansh Borde,,8578254940,Kolkata,2024-04-25
474993,Charvi Ahluwalia,,7866106217,Pune,2024-02-01
643914,Kiara Golla,,8620200747,Delhi,2024-05-04
890029,Taran Loyal,,8003140074,Ahmedabad,2025-03-20
858599,Rasha Saxena,,8546090013,Ahmedabad,2023-09-07
410423,Vihaan Hayre,,9670550456,Bangalore,2023-09-21
143476,Pari Dutta,,9929530775,Hyderabad,2023-12-04
136596,Onkar Ahuja,,9387224925,Hyderabad,2025-03-28
493386,Nitya Bawa,,9119264476,Hyderabad,2025-04-08
863233,Indrans Gade,,8881824103,Pune,2024-03-11
318287,Jiya Mann,,9012500763,Delhi,2025-03-22
551493,Samarth Singhal,,7658759903,Ahmedabad,2025-03-23
517749,Devansh Sen,,7980568991,Chennai,2023-10-02
813895,Devansh Sethi,,8650542480,Delhi,2023-05-04
181605,Rati Balay,,9646460159,Hyderabad,2023-12-16
671382,Zoya Subramaniam,,7426587693,Pune,2023-08-18
317541,Mamooty Raja,,9350539051,Hyderabad,2025-03-29
272460,Shayak Das,,7551750221,Chennai,2023-07-01
131166,Samiha Batra,,7150792111,Delhi,2023-12-24
650820,Dhanuk Rana,,7492455756,Bangalore,2023-04-26
871624,Lakshay Goda,,8361179423,Chennai,2025-03-26
941546,Nehmat Goswami,,7422716988,Bangalore,2024-02-11
528729,Vaibhav Bhagat,,8736097463,Pune,2023-05-11
345929,Lakshay Kari,,7057946723,Bangalore,2025-01-25
496955,Navya Dhawan,,8576363819,Chennai,2024-08-14
463359,Miraya Manne,,7573883407,Mumbai,2024-05-03
594165,Piya Ramachandran,,8891385025,Bangalore,2023-09-29
636395,Yashvi Hora,,8425403383,Kolkata,2024-09-15
530022,Neysa Vaidya,,9897307932,Hyderabad,2025-04-09
105156,Bhavin Kara,,9617343581,Chennai,2025-04-04
724396,Sana Korpal,,8014201066,Pune,2024-10-26
764851,Damini Chana,,8523502527,Delhi,2023-09-19
642239,Armaan Anne,,8515215512,Hyderabad,2025-01-08
314874,Drishya Rana,,9718451672,Hyderabad,2023-10-12
724726,Urvi Kala,,7593456097,Kolkata,2023-10-12
775597,Nitya Das,,9087553761,Ahmedabad,2024-12-30
732429,Divyansh Bhardwaj,,8157814264,Delhi,2023-11-10
276828,Myra Sarna,,9186475299,Delhi,2025-04-09
221004,Chirag Singh,,8746743518,Pune,2024-12-08
604055,Umang Arora,,7908961088,Pune,2023-07-14
213392,Raunak Kara,,7663598326,Bangalore,2024-01-01
574615,Sahil Thaman,,7624319656,Kolkata,2024-01-26
610165,Ojas Sodhi,,7636470185,Delhi,2025-04-02
913410,Nirvi Chada,,9427904916,Chennai,2024-01-19
967425,Prerak Swamy,,8869213033,Hyderabad,2023-08-21
918434,Lavanya Bhatnagar,,7772310524,Kolkata,2025-03-29
276162,Jivika Keer,,9935255719,Bangalore,2023-07-01
967683,Kabir Lata,,9941838209,Ahmedabad,2025-03-28
990834,Mohanlal Bora,,9484171322,Kolkata,2023-12-12
642260,Lagan Karpe,,8636306592,Chennai,2025-04-02
528764,Elakshi Hari,,8038513406,Kolkata,2024-06-25
318191,Mehul Golla,,9363915228,Bangalore,2024-02-19
524691,Keya Singh,,8673679421,Chennai,2024-12-31
376957,Aarna Chacko,,8746818648,Kolkata,2023-06-02
240789,Tara Bhakta,,9957649440,Ahmedabad,2023-05-14
507076,Saanvi Bahri,,9893580057,Pune,2025-04-02
562382,Amani Dhingra,,9641355189,Ahmedabad,2023-04-23
141005,Neelofar Gandhi,,7350311370,Chennai,2023-05-02
614095,Arhaan Dasgupta,,9313468383,Chennai,2025-04-11
289811,Ehsaan Sen,,8615627210,Mumbai,2023-05-08
172188,Yuvraj Ratta,,9889030546,Ahmedabad,2023-06-27
529897,Nehmat Balasubramanian,,9787247421,Chennai,2023-09-02
683155,Alia Sharaf,,9881302496,Delhi,2023-12-29
340804,Sana Madan,,9908406028,Bangalore,2025-04-14
954035,Jayesh Sabharwal,,8375223364,Delhi,2024-10-17
243454,Vidur Chad,,9516178818,Chennai,2024-07-09
134669,Vedika Dube,,7409997269,Chennai,2024-01-18
523995,Pihu Bhatnagar,,9483856164,Pune,2023-09-20
833780,Taran Bora,,8090659252,Pune,2023-10-28
212244,Farhan Dasgupta,,7407749912,Ahmedabad,2024-01-13
595936,Myra Wason,,8017479522,Chennai,2024-01-13
686726,Ishita Ramachandran,,7363718556,Kolkata,2025-03-18
917914,Eva Singhal,,9192118327,Pune,2023-04-29
621919,Vardaniya Joshi,,9671617710,Hyderabad,2025-03-12
387788,Tiya Suri,,8836904357,Pune,2023-12-17
472103,Armaan Bhasin,,9580339257,Bangalore,2025-02-06
