customer_id,full_name,email,phone_number,city,signup_date
866511.0,Ayesha Shetty,,8855091969.0,Chennai,2023-10-31
553987.0,Samiha Gill,,7518091323.0,Ahmedabad,2025-04-05
597401.0,Kiaan Bansal,,7766959137.0,Delhi,2025-03-20
531065.0,Navya Agrawal,,7121386682.0,Hyderabad,2025-02-25
486172.0,Hansh Borde,,8578254940.0,Kolkata,2024-04-25
474993.0,Charvi Ahluwalia,,7866106217.0,Pune,2024-02-01
643914.0,Kiara Golla,,8620200747.0,Delhi,2024-05-04
890029.0,Taran Loyal,,8003140074.0,Ahmedabad,2025-03-20
858599.0,Rasha Saxena,,8546090013.0,Ahmedabad,2023-09-07
410423.0,Vihaan Hayre,,9670550456.0,Bangalore,2023-09-21
143476.0,Pari Dutta,,9929530775.0,Hyderabad,2023-12-04
136596.0,Onkar Ahuja,,9387224925.0,Hyderabad,2025-03-28
493386.0,Nitya Bawa,,9119264476.0,Hyderabad,2025-04-08
863233.0,Indrans Gade,,8881824103.0,Pune,2024-03-11
318287.0,Jiya Mann,,9012500763.0,Delhi,2025-03-22
551493.0,Samarth Singhal,,7658759903.0,Ahmedabad,2025-03-23
517749.0,Devansh Sen,,7980568991.0,Chennai,2023-10-02
813895.0,Devansh Sethi,,8650542480.0,Delhi,2023-05-04
181605.0,Rati Balay,,9646460159.0,Hyderabad,2023-12-16
671382.0,Zoya Subramaniam,,7426587693.0,Pune,2023-08-18
317541.0,Mamooty Raja,,9350539051.0,Hyderabad,2025-03-29
272460.0,Shayak Das,,7551750221.0,Chennai,2023-07-01
131166.0,Samiha Batra,,7150792111.0,Delhi,2023-12-24
650820.0,Dhanuk Rana,,7492455756.0,Bangalore,2023-04-26
871624.0,Lakshay Goda,,8361179423.0,Chennai,2025-03-26
941546.0,Nehmat Goswami,,7422716988.0,Bangalore,2024-02-11
528729.0,Vaibhav Bhagat,,8736097463.0,Pune,2023-05-11
345929.0,Lakshay Kari,,7057946723.0,Bangalore,2025-01-25
496955.0,Navya Dhawan,,8576363819.0,Chennai,2024-08-14
463359.0,Miraya Manne,,7573883407.0,Mumbai,2024-05-03
594165.0,Piya Ramachandran,,8891385025.0,Bangalore,2023-09-29
636395.0,Yashvi Hora,,8425403383.0,Kolkata,2024-09-15
530022.0,Neysa Vaidya,,9897307932.0,Hyderabad,2025-04-09
105156.0,Bhavin Kara,,9617343581.0,Chennai,2025-04-04
724396.0,Sana Korpal,,8014201066.0,Pune,2024-10-26
764851.0,Damini Chana,,8523502527.0,Delhi,2023-09-19
642239.0,Armaan Anne,,8515215512.0,Hyderabad,2025-01-08
314874.0,Drishya Rana,,9718451672.0,Hyderabad,2023-10-12
